02PR,America/Puerto_Rico
BGAA,America/Nuuk
BGBW,America/Nuuk
BGCO,America/Scoresbysund
BGDH,America/Danmarkshavn
BGGH,America/Nuuk
BGJN,America/Nuuk
BGKK,America/Nuuk
BGMI,America/Nuuk
BGMQ,America/Nuuk
BGMV,America/Scoresbysund
BGPT,America/Nuuk
BGQQ,America/Thule
BGSF,America/Nuuk
BGSS,America/Nuuk
BGTL,America/Thule
BGUK,America/Nuuk
BGUQ,America/Nuuk
BIAE,Atlantic/Reykjavik
BIAL,Atlantic/Reykjavik
BIAR,Atlantic/Reykjavik
BIBA,Atlantic/Reykjavik
BIBD,Atlantic/Reykjavik
BIBF,Atlantic/Reykjavik
BIBI,Atlantic/Reykjavik
BIBL,Atlantic/Reykjavik
BIBR,Atlantic/Reykjavik
BIBV,Atlantic/Reykjavik
BIDV,Atlantic/Reykjavik
BIEG,Atlantic/Reykjavik
BIFL,Atlantic/Reykjavik
BIFM,Atlantic/Reykjavik
BIFZ,Atlantic/Reykjavik
BIGF,Atlantic/Reykjavik
BIGH,Atlantic/Reykjavik
BIGJ,Atlantic/Reykjavik
BIGR,Atlantic/Reykjavik
BIGS,Atlantic/Reykjavik
BIHE,Atlantic/Reykjavik
BIHI,Atlantic/Reykjavik
BIHK,Atlantic/Reykjavik
BIHL,Atlantic/Reykjavik
BIHN,Atlantic/Reykjavik
BIHR,Atlantic/Reykjavik
BIHS,Atlantic/Reykjavik
BIHU,Atlantic/Reykjavik
BIHV,Atlantic/Reykjavik
BIHY,Atlantic/Reykjavik
BIHZ,Atlantic/Reykjavik
BIIS,Atlantic/Reykjavik
BIKA,Atlantic/Reykjavik
BIKE,Atlantic/Reykjavik
BIKF,Atlantic/Reykjavik
BIKJ,Atlantic/Reykjavik
BIKL,Atlantic/Reykjavik
BIKP,Atlantic/Reykjavik
BIKR,Atlantic/Reykjavik
BIMK,Atlantic/Reykjavik
BIMM,Atlantic/Reykjavik
BIMS,Atlantic/Reykjavik
BIND,Atlantic/Reykjavik
BINF,Atlantic/Reykjavik
BIRE,Atlantic/Reykjavik
BIRF,Atlantic/Reykjavik
BIRG,Atlantic/Reykjavik
BIRK,Atlantic/Reykjavik
BIRL,Atlantic/Reykjavik
BIRS,Atlantic/Reykjavik
BISA,Atlantic/Reykjavik
BISF,Atlantic/Reykjavik
BISG,Atlantic/Reykjavik
BISH,Atlantic/Reykjavik
BISI,Atlantic/Reykjavik
BISK,Atlantic/Reykjavik
BISN,Atlantic/Reykjavik
BISP,Atlantic/Reykjavik
BISR,Atlantic/Reykjavik
BISS,Atlantic/Reykjavik
BIST,Atlantic/Reykjavik
BISV,Atlantic/Reykjavik
BITE,Atlantic/Reykjavik
BITM,Atlantic/Reykjavik
BITN,Atlantic/Reykjavik
BITO,Atlantic/Reykjavik
BIVA,Atlantic/Reykjavik
BIVH,Atlantic/Reykjavik
BIVI,Atlantic/Reykjavik
BIVM,Atlantic/Reykjavik
BIVO,Atlantic/Reykjavik
BKPR,Europe/Belgrade
CAA2,America/Toronto
CAA4,America/Toronto
CAA8,America/Edmonton
CAD4,America/Vancouver
CAD5,America/Vancouver
CAF2,America/Toronto
CAF4,America/Vancouver
CAG3,America/Vancouver
CAG4,America/Edmonton
CAH3,America/Vancouver
CAH4,America/Vancouver
CAJ2,America/Whitehorse
CAJ3,America/Creston
CAJ4,America/Vancouver
CAJ5,America/Toronto
CAJ7,America/Edmonton
CAJ9,America/Vancouver
CAK3,America/Vancouver
CAL3,America/Vancouver
CAL4,America/Edmonton
CAM3,America/Vancouver
CAM4,America/Edmonton
CAM5,America/Vancouver
CAN5,America/Regina
CAP3,America/Vancouver
CAP6,America/Vancouver
